From	To
Q05209	5HDE
P23443	3A60
Q14766	1KSQ
Q13490	1QBH
Q13077	3M0D
P29475	4D1N
P18146	4R2A
Q14118	1EG4
P55212	1MI9
Q05397	1K04
Q13489	2UVL
P42337	4A55
P29401	3MOS
P27352	2CKT
P04278	1D2S
P05019	1B9G
P42345	1AUE
P09038	1BAS
P15692	1BJ1
O60674	2B7A
P61586	1A2B
Q13464	1S1C
P16455	1EH6
P01135	1GK5
O60260	1IYF
P02730	1BH7
P35462	3PBL
P21917	5WIU
Q4VBK6	1LUB
Q99720	5HK1
P11215	1A8X
P03886	5XTC
P15431	6DW0
P01210	1PLW
P02686	1BX2
Q9BXJ9	6C95
Q92769	3MAX
P26358	3EPZ
P25105	2B0X
P09172	4ZEL
P00749	1C5W
Q08379	4REY
P07911	4WRN
Q15788	1FM6
P69905	1A00
P42785	3N2Z
P42658	1XFD
Q9BYF1	1R42
P09238	1Q3A
P16435	1B1C
O43704	2Z5F
P21731	1LBN
P00734	1A2C
P23141	1MX1
P00797	1BBS
P41181	4NEF
P08473	1DL9
